id,title,overview,video,original_language,popularity,release_date,vote_average,vote_count,genres,keywords
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",False,en,52.223,1994-06-23,8.5,24709,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 422, 'name': 'vietnam veteran'}, {'id': 458, 'name': 'hippie'}, {'id': 478, 'name': 'china'}, {'id': 521, 'name': 'washington dc, usa'}, {'id': 641, 'name': 'single parent'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 828, 'name': 'waitress'}, {'id': 840, 'name': 'usa president'}, {'id': 895, 'name': 'optimism'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1228, 'name': '1970s'}, {'id': 1646, 'name': 'autism'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2075, 'name': 'alabama'}, {'id': 2957, 'name': 'vietnam war'}, {'id': 4170, 'name': 'john f. kennedy'}, {'id': 4243, 'name': 'black panther party'}, {'id': 5526, 'name': 'ping pong'}, {'id': 5709, 'name': 'bus stop'}, {'id': 6054, 'name': 'friendship'}, {'id': 6593, 'name': 'stripper'}, {'id': 6733, 'name': 'bullying'}, {'id': 7422, 'name': 'moon landing'}, {'id': 8646, 'name': 'ronald reagan'}, {'id': 9376, 'name': 'richard nixon'}, {'id': 10163, 'name': 'cancer'}, {'id': 10229, 'name': 'singer'}, {'id': 10235, 'name': 'family relationships'}, {'id': 13095, 'name': 'death of lover'}, {'id': 34079, 'name': 'death'}, {'id': 40895, 'name': 'illness'}, {'id': 41372, 'name': 'leg brace'}, {'id': 155794, 'name': 'physical abuse'}, {'id': 155882, 'name': 'dying mother'}, {'id': 156872, 'name': 'ill mother'}, {'id': 157213, 'name': 'death of mother'}, {'id': 159289, 'name': 'historical event'}, {'id': 162365, 'name': 'military'}, {'id': 162735, 'name': 'disability'}, {'id': 166980, 'name': 'shrimping'}, {'id': 181557, 'name': 'anti war protest'}, {'id': 187300, 'name': 'low iq'}, {'id': 190532, 'name': 'false history'}, {'id': 191600, 'name': 'assassination attempt'}, {'id': 192793, 'name': 'vietnam flashback'}, {'id': 194413, 'name': 'intellectual disability'}, {'id': 208992, 'name': '1960s'}, {'id': 240237, 'name': 'mother son relationship'}, {'id': 260132, 'name': 'monument valley'}, {'id': 264551, 'name': 'child sexual abuse'}, {'id': 272720, 'name': 'dying in arms'}, {'id': 278807, 'name': 'ptsd'}, {'id': 285587, 'name': 'elvis presley'}, {'id': 292050, 'name': 'single mom'}, {'id': 308359, 'name': 'disabled veteran'}, {'id': 308360, 'name': 'war rally'}, {'id': 308361, 'name': 'lyndon b. johnson'}, {'id': 308363, 'name': 'dick cavett'}, {'id': 308365, 'name': 'single dad'}, {'id': 308366, 'name': 'ping pong diplomacy'}, {'id': 308367, 'name': 'college football'}, {'id': 308404, 'name': 'slow-witted'}, {'id': 308417, 'name': 'bob hope'}, {'id': 308418, 'name': 'neil armstrong'}, {'id': 308419, 'name': 'gerald ford'}, {'id': 308420, 'name': 'robert f. kennedy'}]"
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",False,en,73.219,2008-07-14,8.5,29777,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 853, 'name': 'crime fighter'}, {'id': 1308, 'name': 'secret identity'}, {'id': 2095, 'name': 'anti hero'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4426, 'name': 'sadism'}, {'id': 4630, 'name': 'chaos'}, {'id': 7002, 'name': 'vigilante'}, {'id': 9537, 'name': 'joker'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 10044, 'name': 'tragic hero'}, {'id': 10291, 'name': 'organized crime'}, {'id': 14625, 'name': 'anti villain'}, {'id': 18023, 'name': 'criminal mastermind'}, {'id': 33518, 'name': 'district attorney'}, {'id': 33637, 'name': 'super power'}, {'id': 163074, 'name': 'super villain'}, {'id': 207268, 'name': 'neo-noir'}]"
696374,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",False,en,13.157,2020-05-29,8.5,2341,"[{'id': 10749, 'name': 'Romance'}]",[]
1058671,Victim/Suspect,"Investigative journalist Rae de Leon travels nationwide to uncover and examine a shocking pattern: Young women tell the police they’ve been sexually assaulted, but instead of finding justice, they’re charged with the crime of making a false report, arrested, and even imprisoned by the system they believed would protect them.",False,en,16.907,2023-05-19,8.5,5,"[{'id': 99, 'name': 'Documentary'}]","[{'id': 33722, 'name': 'true crime'}, {'id': 190327, 'name': 'sexual assault'}]"
389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",False,en,36.784,1957-04-10,8.5,7298,"[{'id': 18, 'name': 'Drama'}]","[{'id': 934, 'name': 'judge'}, {'id': 1417, 'name': 'jurors'}, {'id': 2118, 'name': 'sultriness'}, {'id': 2122, 'name': 'death penalty'}, {'id': 2123, 'name': 'father murder'}, {'id': 2124, 'name': 'puerto rico'}, {'id': 2142, 'name': 'anonymity'}, {'id': 3012, 'name': 'court case'}, {'id': 3772, 'name': 'heat'}, {'id': 6069, 'name': 'class'}, {'id': 6139, 'name': 'innocence'}, {'id': 6148, 'name': 'court'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 12999, 'name': 'black and white'}, {'id': 33519, 'name': 'courtroom'}, {'id': 214780, 'name': 'courtroom drama'}, {'id': 234041, 'name': 'one location'}]"
76115,The Phantom of the Opera at the Royal Albert Hall,"A disfigured musical genius, hidden away in the Paris Opera House, terrorises the opera company for the unwitting benefit of a young protégée whom he trains and loves. The 25th anniversary of the first public performance of Phantom of the Opera was celebrated with a grand performance at the Royal Albert Hall in London.",False,en,12.294,2011-09-27,8.5,142,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 4344, 'name': 'musical'}]"
995133,"The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",False,en,18.617,2022-12-25,8.5,333,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 2527, 'name': 'fox'}, {'id': 2673, 'name': 'horse'}, {'id': 3929, 'name': 'hope'}, {'id': 6054, 'name': 'friendship'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 15120, 'name': 'kindness'}, {'id': 18035, 'name': 'family'}, {'id': 234662, 'name': 'hand drawn animation'}, {'id': 263548, 'name': 'short film'}, {'id': 299369, 'name': 'courage'}]"
704264,Primal: Tales of Savagery,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",False,en,11.013,2019-11-21,8.5,264,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",[]
710832,Peaky Blinders: The True Story,"The story of the real Peaky Blinders and how they became a TV sensation. Hear of the actual gangsters who became leading characters in the series and the real events behind many of the main story lines, learn the identity of the crime family that inspired the Shelbys, then take a tour of the film locations where the dark and violent world of the Peaky Blinders was recreated.",False,en,13.273,2016-04-02,8.5,21,"[{'id': 99, 'name': 'Documentary'}]",[]
680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",False,en,62.422,1994-09-10,8.5,25226,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","[{'id': 2231, 'name': 'drug dealer'}, {'id': 2792, 'name': 'boxer'}, {'id': 4076, 'name': 'massage'}, {'id': 8627, 'name': 'stolen money'}, {'id': 9730, 'name': 'crime boss'}, {'id': 10104, 'name': 'dance competition'}, {'id': 11435, 'name': 'briefcase'}, {'id': 11436, 'name': 'redemption'}, {'id': 11442, 'name': 'heirloom'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 14604, 'name': 'theft'}, {'id': 157171, 'name': 'nonlinear timeline'}, {'id': 171366, 'name': 'multiple storylines'}, {'id': 207268, 'name': 'neo-noir'}]"
497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",False,en,63.708,1999-12-10,8.5,15445,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 531, 'name': 'southern usa'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 2501, 'name': 'death row'}, {'id': 2881, 'name': 'jail guard'}, {'id': 5571, 'name': 'great depression'}, {'id': 6152, 'name': 'supernatural'}, {'id': 6259, 'name': 'psychopath'}, {'id': 9774, 'name': 'prison guard'}, {'id': 9890, 'name': 'jail'}, {'id': 11263, 'name': 'electric chair'}, {'id': 13006, 'name': 'torture'}, {'id': 156597, 'name': 'magic realism'}, {'id': 167696, 'name': 'healing'}, {'id': 214548, 'name': '1930s'}, {'id': 239910, 'name': 'abuse of power'}]"
661286,The Summers of IT: Chapter One,"This documentary focuses on the actors and their journey over two summers to create the remake to the original IT, by Stephen King. The documentary originally released as bonus material, bundled with IT: Chapter Two.",False,en,12.34,2019-12-10,8.5,20,"[{'id': 99, 'name': 'Documentary'}]",[]
769,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",False,en,39.166,1990-09-12,8.5,11296,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 242, 'name': 'new york city'}, {'id': 378, 'name': 'prison'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1196, 'name': 'florida'}, {'id': 1228, 'name': '1970s'}, {'id': 1583, 'name': 'mass murder'}, {'id': 1857, 'name': 'irish-american'}, {'id': 2149, 'name': 'drug trafficking'}, {'id': 3149, 'name': 'gangster'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 9826, 'name': 'murder'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10292, 'name': 'gore'}, {'id': 10391, 'name': 'mafia'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 214983, 'name': 'crime epic'}, {'id': 214985, 'name': 'tampa, florida'}]"
860852,Tyson's Run,"When fifteen-year-old Tyson attends public school for the first time, his life is changed forever. While helping his father clean up after the football team, Tyson befriends champion marathon runner Aklilu. Never letting his autism hold him back, Tyson becomes determined to run his first marathon in hopes of winning his father's approval.  With the help of an unlikely friend and his parents, Tyson learns that with faith in yourself and the courage to take the first step, anything is possible.",False,en,10.123,2022-03-04,8.5,67,"[{'id': 18, 'name': 'Drama'}]",[]
122,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",False,en,67.548,2003-12-01,8.5,21644,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","[{'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 606, 'name': 'orcs'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 3301, 'name': 'suspicion'}, {'id': 3347, 'name': 'volcano'}, {'id': 3930, 'name': 'bravery'}, {'id': 6782, 'name': 'addiction'}, {'id': 9812, 'name': 'honor'}, {'id': 9920, 'name': 'royalty'}, {'id': 11173, 'name': 'troll'}, {'id': 14707, 'name': 'brutality'}, {'id': 162846, 'name': 'ghost'}, {'id': 177912, 'name': 'wizard'}, {'id': 207372, 'name': 'quest'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 234213, 'name': 'sword and sorcery'}]"
664280,David Attenborough: A Life on Our Planet,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",False,en,11.431,2020-09-28,8.5,281,"[{'id': 99, 'name': 'Documentary'}]","[{'id': 2210, 'name': 'climate change'}, {'id': 5565, 'name': 'biography'}, {'id': 18330, 'name': 'nature'}, {'id': 221355, 'name': 'nature documentary'}, {'id': 274947, 'name': 'climate emergency'}, {'id': 311826, 'name': 'climate crisis'}]"
510,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",False,en,29.007,1975-11-19,8.4,9393,"[{'id': 18, 'name': 'Drama'}]","[{'id': 428, 'name': 'nurse'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1897, 'name': 'oregon, usa'}, {'id': 2574, 'name': 'lunatic asylum'}, {'id': 4924, 'name': 'insane asylum'}, {'id': 6054, 'name': 'friendship'}, {'id': 11612, 'name': 'hospital'}, {'id': 14784, 'name': 'medication'}, {'id': 166726, 'name': 'female villain'}, {'id': 190939, 'name': 'shock treatment'}]"
724089,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",False,en,15.993,2020-07-31,8.4,1472,"[{'id': 10749, 'name': 'Romance'}]","[{'id': 818, 'name': 'based on novel or book'}]"
1891,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",False,en,32.408,1980-05-20,8.4,15385,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 526, 'name': 'rebel'}, {'id': 803, 'name': 'android'}, {'id': 1423, 'name': 'asteroid'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 2902, 'name': 'space battle'}, {'id': 3373, 'name': 'snowstorm'}, {'id': 3388, 'name': 'space colony'}, {'id': 4551, 'name': 'swamp'}, {'id': 11196, 'name': 'rebellion'}, {'id': 161176, 'name': 'space opera'}, {'id': 244265, 'name': 'artic'}]"
311,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",False,en,29.333,1984-05-23,8.4,4690,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]","[{'id': 242, 'name': 'new york city'}, {'id': 314, 'name': 'life and death'}, {'id': 417, 'name': 'corruption'}, {'id': 542, 'name': 'street gang'}, {'id': 570, 'name': 'rape'}, {'id': 625, 'name': 'sadistic'}, {'id': 725, 'name': 'lovesickness'}, {'id': 739, 'name': 'sexual abuse'}, {'id': 802, 'name': 'regret'}, {'id': 947, 'name': 'prohibition era'}, {'id': 975, 'name': 'money laundering'}, {'id': 1632, 'name': 'opium'}, {'id': 3149, 'name': 'gangster'}, {'id': 6220, 'name': 'mafia boss'}, {'id': 9826, 'name': 'murder'}, {'id': 10937, 'name': 'memory'}, {'id': 13006, 'name': 'torture'}, {'id': 158967, 'name': 'brooklyn bridge'}, {'id': 160246, 'name': 'childhood friends'}, {'id': 207876, 'name': '1920s'}, {'id': 208992, 'name': '1960s'}, {'id': 214548, 'name': '1930s'}]"
164558,One Direction: This Is Us,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction.",False,en,10.757,2013-08-29,8.4,968,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",[]
